Genus Name	Species Name	Synonym	Family	Order	Class	Common Name	Species Code	Growth Form	Percent Leaf Type	Leaf Type	Growth Rate	Longevity	Height at Maturity (feet)
Araucaria	excelsa		Araucariaceae	Pinales	Pinopsida	Araucaria excelsa	AREX	Tree	Picea	Evergreen	Moderate	Long	98
Araucaria	heterophylla	Araucaria excelsa	Araucariaceae	Pinales	Pinopsida	Norfolk island pine	ARHE	Tree	Picea	Evergreen	Fast	Moderate	50
Araucaria	hunsteinii		Araucariaceae	Pinales	Pinopsida	Klinki pine	ARHU1	Tree	Hardwood	Evergreen	Moderate	Long	262
Arbutus	andrachne		Ericaceae	Ericales	Dilleniidae	Cyprus strawberry tree	ARAN	Tree	Hardwood	Evergreen	Slow		20
Arbutus	andrachnoide		Ericaceae	Ericales	Dilleniidae	Hybrid Strawberry tree	ARX	Tree	Hardwood	Evergreen	Moderate	Moderate	26
Arbutus	arizonica		Ericaceae	Ericales	Dilleniidae	Arizona madrone	ARAR2	Tree	Hardwood	Evergreen	Slow	Long	30
Arbutus	canariensis		Ericaceae	Ericales	Dilleniidae	Canary Islands Madrone	ARCA	Tree	Hardwood	Evergreen	Moderate	Long	10
Arbutus	menziesii		Ericaceae	Ericales	Dilleniidae	Pacific madrone	ARME	Tree	Hardwood	Evergreen	Slow	Long	80
Arbutus	unedo		Ericaceae	Ericales	Dilleniidae	Strawberry tree	ARUN	Tree	Hardwood	Evergreen	Slow	Moderate	20
Arbutus	var. marina		Ericaceae	Ericales	Dilleniidae	Marina arbutus	ARMA2	Shrub or small tree	Hardwood	Evergreen	Moderate		30
Arbutus	xalapensis	"Arbutus texana, Arbutus xalapensis var. texana"	Ericaceae	Ericales	Dilleniidae	Texas madrone	ARTE	Tree	Hardwood	Evergreen	Moderate		30
Archirhodomyrts	beckleri	Archirhodomyrtus beckleri	Myrtaceae	Myrtales	Rosidae	Archirhodomyrtus beckleri	ARBE	Shrub or small tree	Hardwood	Evergreen	Fast	Moderate	5
Archontophoenix	alexandrae		Arecaceae	Arecales	Arecidae	Alexandra palm	ARAL	Palm	Palm	Evergreen	Fast		38
Archontophoenix	cunninghamiana		Arecaceae	Arecales	Arecidae	King palm	ARCU	Palm	Palm	Evergreen	Fast		80
Arctostaphylos	alpina	"Arctous alpina, Mairania alpina, Arbutus alpina"	Ericaceae	Ericales	Dilleniidae	Alpine bearberry	ARAL3	Shrub	Hardwood	Deciduous	Fast	Short	1
Arctostaphylos	andersonii		Ericaceae	Ericales	Dilleniidae	Santa cruz manzanita	ARAN2	Shrub	Hardwood	Evergreen	Slow		12
Arctostaphylos	auriculata		Ericaceae	Ericales	Dilleniidae	Mount diablo manzanita	ARAU	Shrub	Hardwood	Evergreen	Slow		5
Arctostaphylos	bakeri		Ericaceae	Ericales	Dilleniidae	Baker's manzanita	ARBA4	Shrub	Hardwood	Evergreen	Slow		6
